image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0012,479.050523 238.214286,478.298975 265.865854,476.108444 299.714511,483.510453 335.440767,492.962554 366.613466,504.026132 400.555749,514.729965 428.207317,529.001742 447.83101,555.761324 452.290941,589.969727 454.168539,625.962103 441.727547,661.449895 423.257766,694.651938 399.085708,716.193134 366.128039,724.34669 329.196864,730.590592 295.301394,735.582763 262.251096,482.121489 209.963943,495.652182 199.508127,511.837021 204.676498,524.450008 210.112525,539.559392 218.78947,579.30121 220.139013,605.032166 213.367522,631.91816 210.25893,659.190956 214.052732,682.152993 228.508181,558.617368 245.01821,552.768001 267.008176,546.163535 287.820513,538.973708 311.038155,527.348409 322.056123,536.526776 330.449399,546.010318 336.348127,562.963284 331.513283,577.710599 329.269778,495.775022 241.635046,509.338843 232.576265,524.887384 233.014896,541.315454 249.449743,525.624277 252.552442,507.36118 250.014625,603.492891 252.420939,616.776087 241.100673,634.281467 241.880869,650.484428 253.310747,635.880063 259.925902,617.82945 258.575637,512.360674 360.99295,525.529373 356.520766,541.526729 355.200081,550.294407 359.681801,562.771923 356.719922,581.489835 360.497992,614.303767 366.915489,583.249465 388.66087,562.629714 393.03055,548.999504 393.222444,540.171172 391.919008,524.640097 384.213046,527.555865 367.156178,541.512071 365.140766,550.351946 365.474355,562.709279 366.426109,595.226085 369.911037,562.420951 374.871186,550.03476 374.67274,541.512071 372.118851
image_0013,201.740865 200.87382,198.924983 228.737268,197.137234 259.692181,202.925712 292.862916,207.50596 327.049058,217.218622 357.030338,231.371939 380.676255,252.113722 402.604751,280.553117 410.087606,313.143681 410.419694,344.732264 399.061745,378.609554 382.425323,403.423998 357.589482,415.892011 326.622538,423.694512 297.589634,431.732317 267.911585,438.520111 232.171443,206.991915 180.264911,217.796331 169.344882,237.172591 164.840972,255.156266 169.45606,275.322502 178.846957,315.119081 177.124279,341.057677 168.5384,364.713114 166.795944,385.996977 174.926812,402.726261 189.410871,291.915736 204.039215,287.844934 222.155363,283.506802 239.595411,278.804409 256.035951,258.583513 276.883543,268.969377 281.892772,277.824547 286.885909,294.471341 285.193305,308.549361 284.159133,227.207772 207.844834,242.421094 200.090226,259.426656 201.483715,269.686188 213.823679,252.780854 217.211707,237.146829 215.710122,328.732965 216.988147,344.049842 206.999371,361.979395 207.548661,376.071253 218.584282,361.588713 223.433228,344.106255 222.808388,240.743221 321.501372,252.787791 309.703326,268.619882 305.376688,279.384422 310.076321,292.467079 307.555721,309.489532 313.512474,338.375226 325.412805,309.40682 341.511785,293.42248 346.445381,279.70086 347.142365,268.345948 345.489715,251.775938 336.951791,251.496172 322.010919,268.655803 314.805784,279.029317 315.58137,292.048337 317.340583,316.775813 325.723228,292.356207 330.271139,279.00632 330.088425,268.347932 328.967821
image_0014,72.688447 193.396133,72.230572 209.669092,73.662553 227.437327,77.110979 247.158711,82.838902 263.626492,93.125822 279.509808,104.318616 292.9821,117.532792 303.585492,135.559142 309.37671,154.364777 308.271077,170.710907 302.742913,188.17657 293.1168,203.079793 277.795723,215.328791 260.069322,221.723889 240.196489,224.142033 220.263723,224.609508 197.151898,78.691491 171.891166,87.712612 168.510215,95.878882 169.278235,106.295885 171.435484,114.337249 175.096382,150.517624 177.448355,162.570216 174.090702,174.42093 174.064523,186.151734 174.61987,194.596555 177.667872,131.933203 185.7755,128.967816 199.565656,126.937644 212.157294,125.579233 223.500751,113.886215 232.79824,120.812393 236.675625,127.194191 239.784925,136.972834 238.63651,144.480861 236.394764,83.451154 188.176317,92.546835 182.729089,103.465436 183.171527,112.385326 189.170704,102.67097 191.668603,92.583777 191.665223,155.567408 190.963877,164.648455 185.733488,175.689525 186.1283,184.575539 192.269243,175.011136 195.066195,164.96556 194.258964,100.607137 252.208396,112.790874 250.476491,121.231801 249.003017,128.46373 250.263082,138.199185 249.776893,150.314664 252.417299,170.219356 256.17799,151.224176 271.122617,138.481271 274.375635,128.960815 274.073194,120.942875 273.581687,111.892786 268.04645,103.925778 253.663605,120.97593 255.339091,128.291935 256.374757,138.277267 255.714536,166.015445 257.314104,138.02846 263.480693,128.460532 263.549444,120.759464 262.804047
image_0015,224.390536 154.433662,223.424939 167.210536,225.078273 180.265267,229.796873 192.390864,233.173004 204.790864,236.033333 218.946667,241.406667 231.76,247.815061 243.194404,262.82708 248.98107,280.633418 247.499671,292.334545 239.489518,303.585617 230.659191,315.85133 221.571687,324.401424 209.531334,330.048235 194.597908,336.22689 176.753924,338.330942 157.642502,225.699074 135.615318,233.318689 132.285858,240.850686 134.567674,248.100623 138.026343,254.451647 142.212786,273.505073 143.683058,285.759155 141.156964,297.190573 140.076494,309.089685 141.147501,319.370134 146.149334,263.667989 153.989849,261.611092 162.723685,259.191068 172.157938,256.537524 181.762638,248.568807 191.319343,251.736544 195.141812,257.453747 197.310948,264.48149 195.868524,272.163608 194.145725,231.80336 149.513421,237.825596 145.373333,247.28095 148.107317,252.735145 154.082882,244.820444 156.384455,236.848603 154.349606,282.687993 156.773455,290.281099 151.633137,297.532493 152.04865,304.282869 156.527252,298.82354 160.802141,290.249464 161.076544,240.510536 208.09753,247.569281 205.870589,253.520817 203.935851,259.760199 206.125262,266.115614 204.156194,275.625088 207.607196,288.903802 211.886331,276.269052 223.281484,265.939174 227.484281,259.527324 227.381812,252.530207 225.867408,246.227737 220.633004,242.511193 209.406996,253.219595 209.798301,259.869873 211.048104,266.199672 210.881929,285.910111 212.680919,266.241015 217.094486,259.750576 217.202567,253.013004 215.190207
image_0016,135.400982 177.121787,135.299436 192.87147,136.870172 209.981945,140.414809 227.966643,144.992432 244.67013,153.96695 259.733168,162.372691 272.764684,175.076802 287.312739,192.775798 291.881697,212.41826 291.205292,229.516291 280.769729,243.844186 269.489559,259.936493 254.319202,267.111394 233.263147,270.579871 215.074955,271.845165 196.216034,273.313953 176.387393,139.378942 167.178618,147.586684 161.042296,158.29179 161.655611,169.202983 165.824365,179.233239 169.775208,199.576339 171.059572,213.736237 167.918041,227.103492 163.618105,240.006092 164.701071,254.165426 168.983721,190.026556 181.679687,189.193183 194.192166,188.06583 206.575032,186.710249 220.047946,176.289722 226.27683,182.062553 229.786752,188.780365 233.264236,197.458927 230.07194,203.36749 227.210746,151.873572 181.558375,160.276846 176.459788,170.421302 177.839345,177.703648 185.235746,168.108399 186.221394,158.350654 185.628751,211.735576 186.930832,217.613935 180.227536,228.329345 178.60245,236.76894 184.489477,229.95063 188.266447,220.351947 188.367385,165.740885 241.32849,174.067894 240.812267,184.561321 240.456293,190.774538 242.964377,198.049292 240.946259,209.194344 241.116225,221.829803 244.753541,210.458481 254.580318,198.320127 259.422082,190.995525 260.038611,184.126067 258.296616,173.623931 252.64047,168.701675 243.044036,184.533054 245.647106,191.01829 246.248122,198.146256 246.27394,218.736481 245.573564,198.333833 251.338536,191.056893 251.867056,184.228238 250.413775
image_0017,65.987258 166.065998,68.92528 188.55573,73.54298 211.331373,79.011861 231.133887,87.215182 250.5,99.762233 268.693225,115.446048 283.122334,129.779681 294.86474,150.845536 299.643119,171.185325 295.682786,189.998278 282.035365,203.864807 266.403551,214.983743 246.464167,222.191461 225.35816,226.228344 204.123647,228.062664 181.941277,227.162543 158.360989,71.48363 150.444094,82.244099 140.440532,94.815905 142.560198,106.570772 146.278161,118.641009 151.490123,151.086113 149.120976,165.311632 141.589757,181.030648 135.999801,196.435925 135.6604,208.273807 144.409257,138.480263 169.907389,139.209438 184.755819,139.899939 199.761484,140.691575 214.470863,126.559686 224.724717,134.853255 225.20262,142.56746 227.65823,151.40846 223.693167,159.928718 222.148207,89.195267 171.598595,97.664004 168.026653,108.768411 168.713242,118.864342 175.349813,108.416106 177.156917,97.197245 176.53512,164.014324 171.033345,172.144752 164.975267,181.560394 163.810682,191.010116 165.257027,183.641432 170.237435,172.490084 171.523009,119.585309 255.09718,127.294205 247.504303,136.058368 242.978096,144.107985 244.690719,152.200477 242.064543,164.268963 245.410858,177.56794 247.623286,165.774845 260.695311,154.289838 266.141009,145.835871 267.786806,137.082916 266.733182,128.539195 263.42095,123.666035 254.156129,136.447225 252.201142,144.57447 252.419529,153.186084 251.034944,172.903473 249.475824,153.186084 251.034944,144.57447 252.419529,136.447225 252.201142
image_0018,230.597937 142.943504,229.302301 157.05018,230.550554 171.845074,233.411453 187.348399,237.005634 200.038208,243.098214 213.31915,250.278294 226.134544,258.475724 237.640587,274.988228 242.073575,291.209353 241.907619,310.25885 237.464204,328.171756 227.697532,343.067817 215.419933,352.561215 198.082228,358.527016 179.435635,361.426067 159.791214,363.217042 141.243352,231.743219 121.096838,238.288667 116.176674,246.144239 114.869119,253.890534 116.794531,262.12177 119.891961,280.684593 121.844579,294.020243 116.999755,307.144279 115.549741,322.231359 117.620867,336.754843 124.350739,271.836531 134.166786,270.197596 143.302284,267.790225 152.798936,265.119225 163.391769,258.731995 175.667821,264.273069 179.182332,269.956163 181.392209,277.479465 179.34811,284.240357 175.881865,240.093992 136.472221,246.64858 130.061525,256.470885 131.107391,263.394271 139.855729,254.053442 140.364589,244.853009 139.907182,293.801786 140.018658,299.925534 133.215751,309.222307 131.113499,319.267888 138.702525,311.535776 140.02694,302.755265 140.704557,250.777541 194.659448,257.977274 191.178022,264.294585 189.797277,270.389752 191.721377,277.410192 189.424826,290.226091 192.523725,304.538419 197.047512,290.318117 203.690608,278.130885 206.719351,270.464122 207.166629,263.707515 205.672297,257.480225 202.265038,255.188608 196.452309,264.02466 194.572938,270.469156 195.287967,277.599972 194.526746,292.353396 197.568588,277.599972 198.76585,270.49261 199.273607,264.141914 198.420433
image_0019,84.816152 176.224772,80.673482 190.02912,82.953532 205.419455,89.223668 216.24969,95.493804 226.509913,103.473978 242.47026,108.632991 263.481508,113.027172 277.356626,127.414498 281.801115,147.302906 281.598293,165.989266 273.618119,182.858283 260.86324,199.851351 246.443601,215.117635 228.665912,222.234416 207.282075,223.775124 185.406996,224.345137 161.466475,79.39266 151.804797,82.44666 147.425068,87.61737 148.236473,94.914136 150.945751,102.976386 156.94507,115.466759 154.594319,129.467043 148.58525,141.784744 145.628625,155.039388 145.201688,169.731992 147.753055,109.744114 165.518587,107.464064 177.488848,104.448084 188.708725,101.193928 200.859356,96.28754 209.438444,99.722066 213.248161,105.407738 215.542661,115.740218 211.119579,125.589526 207.810218,89.028847 165.533039,94.801227 161.153309,102.22584 162.697428,106.527606 169.677193,99.28907 170.66315,92.2541 170.107589,135.645243 168.92591,141.331485 161.429942,149.690261 161.974462,157.882744 166.857431,152.201674 170.15029,142.873046 170.83073,104.33997 230.25487,101.165026 221.603525,108.632991 221.213883,113.90012 222.382811,121.37808 219.940692,146.12554 220.694484,160.309298 223.883576,149.103871 243.502172,130.524142 253.610927,121.591809 255.039435,114.657998 254.404663,106.937406 241.222121,105.43664 227.30365,109.389618 226.384068,114.574835 226.764362,122.427854 225.131477,158.657066 225.20397,127.731209 245.759768,119.835008 246.246483,112.575504 242.604171
image_0020,117.402928 217.814144,121.242928 231.488784,127.454342 244.928784,136.899901 257.762928,146.385558 268.98,157.831315 279.745658,170.22 292.66,181.874405 302.657334,200.858797 304.876341,218.150795 297.521181,230.627288 282.202431,239.751814 266.747131,248.30042 248.743114,251.614342 229.677171,249.58 208.82,246.151315 189.84273,241.179801 173.048288,113.60519 204.327768,118.999271 197.982277,128.083942 198.154426,137.878575 199.257072,148.44081 200.438516,171.708721 194.906943,182.898195 185.926979,192.723692 179.252489,204.703409 173.401049,216.445548 172.637813,163.18 205.62,167.02 217.78,170.22 229.94,172.854243 242.174243,163.934342 250.460099,171.351514 252.380099,178.014342 253.43737,183.496248 247.068834,190.642504 241.103527,130.122491 214.342878,135.477824 207.854773,145.618363 205.608406,153.660199 210.254442,146.059663 213.958304,137.517196 216.320108,184.993916 201.315584,188.383036 193.967196,197.144888 190.171748,205.83031 191.542011,201.871267 197.057727,193.892123 200.73124,160.2242 261.03997,167.627305 259.081607,177.569848 257.241095,183.279089 256.517867,190.113177 252.725631,201.16273 246.99727,216.614169 243.566238,211.253238 266.305581,199.256314 277.455983,190.859226 280.606565,184.505385 281.151607,174.204152 278.986884,165.417061 263.723324,178.683491 261.291871,184.486729 259.702921,191.770337 256.626982,214.915391 245.765423,195.847126 269.327992,188.745794 272.045902,181.527357 271.908971
image_0021,67.577102 165.827455,68.133929 187.330357,71.003827 206.845663,75.595663 224.639031,80.1875 241.858418,88.797194 260.225765,99.702806 275.723214,112.330357 290.072704,133.252004 297.215877,153.519205 294.15091,171.32901 282.425614,187.036513 267.923669,200.585532 251.676421,206.522352 231.004134,207.881524 208.560243,210.640523 187.729902,212.546413 166.942018,74.097409 161.524394,86.760022 157.557337,99.746081 158.692651,110.577349 163.213421,120.806423 169.312074,141.22672 169.308146,156.081609 163.164015,170.88714 160.169374,185.42676 159.648568,198.063054 163.73797,131.750892 177.485404,130.94684 192.901906,131.11423 208.454688,130.364214 223.541397,116.535267 227.553485,123.140486 231.133225,131.558636 234.349036,140.952995 231.508639,148.010036 228.071586,87.644881 176.941338,96.237431 170.978197,106.149372 170.688254,115.458636 180.106887,106.214614 181.869059,94.793096 181.548753,153.484653 182.18269,161.158855 173.178899,172.67868 172.051057,182.015079 178.82826,172.500764 183.550765,162.326931 183.946829,103.590853 244.323783,114.616346 244.472079,124.44859 243.132946,132.702981 245.408915,142.382749 242.79683,152.686412 244.212623,164.776697 245.319449,153.648167 258.45695,143.286063 263.633735,132.591341 264.577731,123.98545 262.977557,113.925043 258.73699,118.430375 249.834316,124.383994 249.081287,132.650002 249.347665,142.573631 249.134186,150.332645 249.800009,142.888306 253.304333,132.790217 254.297164,124.306693 252.988794
image_0022,99.287313 178.764925,97.048507 198.354478,97.608209 219.623134,101.526119 239.772388,111.726304 256.859882,124.955179 272.0689,140.229472 285.602938,158.385109 296.37553,180.03662 301.481687,193.742241 297.737141,206.43515 284.52788,217.858932 273.999277,229.579316 263.355202,238.284752 247.335967,246.389614 229.827481,246.488806 214.329493,247.608209 201.038831,138.82776 168.605117,155.213459 167.60837,169.860008 167.983383,181.545937 172.078678,196.569834 179.486218,223.007842 183.2028,232.607023 179.737395,239.981767 178.675526,247.360853 180.223148,248.443428 186.745648,207.491298 193.10716,207.942301 204.847163,209.30888 215.432844,210.353783 227.236104,188.701074 233.944898,195.01987 237.04838,201.118065 241.13279,207.394955 238.865084,212.416217 235.830877,154.217812 186.451622,165.127801 182.701279,175.576926 184.162781,181.010572 192.623711,171.996005 192.688187,162.101449 191.168841,214.10749 197.444105,222.500735 188.37619,232.042307 188.954754,237.805898 195.713288,232.810216 198.55121,223.85026 198.987886,155.001135 244.211949,176.383524 245.552476,193.913498 245.824261,200.320399 247.098692,207.743797 247.295395,213.293735 248.171044,214.468921 252.727082,209.628902 260.684082,199.434626 270.412904,192.445899 270.674246,183.874957 269.496471,170.850257 261.34723,158.938071 246.431729,191.643548 250.785507,198.060728 252.155358,205.575962 252.432979,209.563519 254.511827,202.033969 261.776744,195.283474 261.045542,187.937713 261.173554
image_0023,140.70922 129.11393,140.421019 148.992838,142.779276 168.736889,145.019076 185.760445,150.738663 204.528101,161.268374 221.692001,173.279858 234.953527,190.995275 250.011549,205.022636 251.499299,217.516334 251.157798,236.89098 237.812325,252.257335 222.975251,263.119129 206.208828,269.753319 190.266649,273.162982 173.979208,275.144089 157.154175,276.407493 141.747874,158.459123 124.871877,172.332949 119.002132,185.824791 118.299055,198.748402 119.989318,210.955163 126.937345,232.742259 129.243873,242.938449 123.739675,253.38445 123.156036,263.572848 123.309947,270.91627 131.152166,220.191047 140.950248,219.942227 154.902519,219.892934 168.049027,220.111496 181.217748,202.893082 187.277256,209.162721 190.236568,215.823215 193.48193,222.743198 191.219651,228.496157 189.105052,176.043464 137.952405,185.484092 135.110672,195.441022 135.739002,199.425494 140.962586,192.63769 142.595966,184.289839 141.471082,232.089056 144.011745,240.191876 137.292278,248.647016 137.798632,256.247803 142.342202,249.595526 145.67316,241.019098 144.408835,177.719292 192.27949,194.165933 195.17895,206.328705 198.12002,213.028439 200.44905,222.820124 199.652218,232.490989 199.463154,243.517803 197.34285,231.736759 214.535296,220.107624 222.090926,209.348631 222.415569,201.734615 220.427251,189.305324 211.22804,182.722888 194.864756,205.410925 202.189854,212.572017 203.697774,222.143456 203.173621,237.153334 200.65268,221.172507 212.025417,210.888987 213.044809,203.057541 211.282357
image_0024,116.614124 145.296041,117.705317 162.671422,118.350111 177.657166,121.666888 195.660173,130.112245 209.835117,140.63731 222.432964,151.161736 227.659916,167.631753 235.032968,177.266755 235.517303,185.452174 234.087803,197.583159 226.757003,208.627186 217.321451,215.183223 205.073861,219.177053 190.381098,221.181434 174.745291,222.89924 157.914449,223.519395 145.889808,133.054999 132.202678,140.015129 127.868085,148.646586 126.854253,157.39565 128.133205,165.732575 130.952079,190.271821 132.988834,198.147493 129.588915,206.50863 127.997927,213.665863 128.13243,220.092498 132.895841,177.746634 143.866355,177.899756 153.209489,178.119596 163.044424,178.343067 172.185682,168.48594 178.109574,172.935494 180.179311,178.351881 182.582219,182.169139 180.323786,186.129115 178.151428,141.881212 144.046848,148.055201 139.927664,155.59384 140.190394,161.38612 144.446651,154.914049 146.203617,148.080614 146.395909,192.063568 145.334788,198.453911 140.165993,205.188555 140.551552,211.01982 144.263356,205.717805 146.330849,198.866384 146.404571,155.202788 199.878456,166.487712 196.039989,173.594508 194.176656,178.58303 194.940117,183.685562 194.206673,190.376783 196.100729,199.050603 200.041155,190.449658 206.32492,184.34009 210.023213,178.586075 211.12445,173.218643 210.99118,164.577762 206.96504,158.291425 200.401358,173.442507 200.970267,178.181624 201.90604,183.646807 201.112494,196.516715 200.611063,183.646807 201.112494,178.181624 201.90604,173.442507 200.970267
image_0025,455.460288 366.724788,449.595008 410.019956,454.311977 461.189641,472.484933 507.969794,487.694315 554.68081,501.444954 591.321375,525.963872 627.573397,556.321446 663.935552,608.443001 675.564196,660.028608 672.164124,714.1 648.392695,752.507269 625.006873,790.650198 591.556639,815.706981 543.492372,829.549802 488.771033,840.914106 427.399892,843.664232 368.892875,455.081386 310.476842,475.315204 291.989721,501.991022 286.321316,533.24226 289.264581,563.432031 296.229034,626.328571 289.871429,663.551174 282.808173,703.350517 278.336195,747.128283 284.24991,780.178373 304.485462,590.671429 338.328571,586.1 370.328571,579.7 400.5,573.3 428.842857,553.057179 462.685966,566.907269 469.607376,584.800108 474.171537,607.785787 469.343037,629.207233 461.114465,491.602856 357.977863,508.257179 338.200036,539.864303 337.80716,558.928499 359.085535,533.464303 366.271285,507.214358 365.885678,656.099856 353.214213,675.042785 334.142749,702.87877 330.621411,725.743181 346.557143,711.606945 358.707197,683.121014 361.442785,526.021482 530.985787,548.797251 518.963232,576.439614 508.114564,592.759624 513.298015,609.599405 506.730938,641.932256 509.365164,690.971249 527.44991,645.678913 564.528212,614.864807 574.985498,594.156604 577.623989,579.556927 576.171392,548.871356 565.84991,534.9 534.9,577.666443 526.154713,593.150426 524.175867,610.57674 522.774291,669.700144 532.542749,612.250485 546.64991,594.204514 547.365804,578.242498 546.128499
image_0026,338.291384 317.052057,350.690495 356.332096,366.643316 396.473761,384.1601 435.878028,406.058387 473.733095,433.863567 502.163813,468.774413 524.502944,509.295822 546.701838,556.670927 542.793066,589.337761 522.347452,620.507351 497.166834,648.598579 462.591729,670.373684 422.941938,680.015623 377.311529,681.592565 321.632331,674.362155 275.662239,657.661737 235.513366,337.73211 289.745204,351.499985 266.252883,377.745858 261.600567,403.492654 256.781459,427.607508 262.61932,490.381028 243.645216,519.26978 223.948939,546.75172 213.177709,576.822488 211.33934,606.189618 212.253626,467.915565 290.089471,474.141938 322.454386,479.044695 352.709691,484.050923 381.628518,472.286917 410.654137,485.124811 411.866007,499.099608 411.717802,515.494922 404.158524,528.973291 395.890769,380.129909 324.530409,394.926232 309.402757,416.537761 303.585714,441.642857 310.9,422.107351 326.442857,394.930409 333.58939,525.000317 288.701975,537.227652 270.91888,559.837343 263.18939,581.448872 269.505514,571.966333 280.896324,547.863576 290.286634,466.408271 465.330409,485.68797 456.023977,501.897661 447.296324,515.532248 447.208271,527.342439 440.30919,550.199582 437.650208,584.355305 427.429491,559.84152 458.838179,540.557644 471.474603,525.920719 476.465413,512.529407 479.044695,494.243693 479.208271,476.876441 464.915205,504.358432 456.219578,518.084051 455.290948,531.686907 449.713473,570.229992 437.813784,531.686907 449.713473,518.084051 455.290948,504.358432 456.219578
image_0027,572.216387 289.465125,575.670378 331.522064,583.763446 367.348535,589.748864 404.958427,597.95189 443.979411,619.35294 480.787815,645.833401 510.891595,680.914913 536.15294,722.836554 544.821641,767.084641 535.60919,800.429921 507.809112,828.323733 479.724866,847.997469 448.38054,859.74223 411.471429,864.652313 371.615336,870.34118 339.242857,874.540129 301.384664,596.758437 264.08189,620.791532 250.130627,650.175812 247.337418,679.873083 251.984861,707.380382 262.068435,763.471429 261.122268,790.843955 254.055686,815.66096 252.234309,841.184161 255.89538,861.807575 268.978156,732.531847 296.523053,733.044932 325.482951,734.31576 355.293696,734.857566 384.923318,697.22593 396.030249,713.053178 403.846637,729.115815 411.112989,747.623742 404.631299,763.428784 397.280249,630.019539 295.89895,648.643908 282.726471,672.821641 284.216387,688.872479 300.876682,669.536977 305.989917,646.036554 305.244958,768.787815 303.619539,780.639705 288.990967,804.95294 286.044958,822.053567 298.506304,809.185714 307.039705,787.242857 307.242857,658.075066 437.936333,688.669124 436.190967,715.477389 433.140473,729.9352 437.797869,746.237371 432.032105,766.713279 435.17836,794.590967 438.730672,767.602728 466.497695,747.427984 473.497249,730.276254 476.108239,716.266819 474.861769,687.788663 464.804626,665.711477 442.099513,715.767137 445.692015,730.536577 446.287022,745.931162 445.556545,783.257637 442.201086,745.958279 451.519595,730.157933 453.63298,715.977573 451.807896
image_0028,105.962687 103.205224,108.761194 117.197761,112.679104 130.070896,117.156716 144.063433,123.408018 154.663629,134.507463 165.237504,149.875501 175.747877,164.591496 183.632706,178.095971 183.615081,190.163578 178.585119,197.88178 165.576952,202.616158 152.575769,205.749937 140.787888,209.84047 128.545649,212.026531 118.132196,210.968606 108.318968,210.103125 98.927132,130.674396 90.839705,140.760319 84.876689,151.020263 82.369427,161.911705 83.619102,173.440579 86.776798,187.125561 87.620787,193.034363 85.346673,198.714328 84.910533,203.864538 84.858198,207.884117 85.752925,180.11923 99.347767,181.643295 105.599069,183.046454 112.875188,184.820144 120.211761,172.573236 129.538314,178.161237 131.446871,183.95874 133.319987,187.715575 131.50275,191.322951 129.702898,144.261146 99.569199,149.323805 95.770172,156.822251 95.449421,161.017602 99.647279,156.753949 103.088829,150.090915 102.940334,187.438825 100.979336,191.57161 96.234086,197.873123 95.644934,201.702865 99.785311,198.240879 102.382899,192.28892 102.572103,160.064561 151.318215,170.629326 144.072264,179.444807 141.017781,182.959017 142.308229,186.993744 140.460484,191.675011 143.416085,196.167234 149.026972,191.125215 158.220054,187.172579 160.478518,182.590191 161.537466,178.387859 161.631383,169.954111 159.365587,164.101824 150.915531,179.293826 145.810551,182.8056 145.892539,186.854875 145.739413,193.474231 149.274617,187.169713 153.925219,182.64818 154.393184,178.979555 154.256218
image_0029,79.825329 165.369233,78.782646 181.878193,82.950262 201.255767,91.232697 221.59375,97.299643 241.283622,104.799846 256.802829,114.018157 272.715727,125.53125 284.614583,146.262856 290.137246,167.096189 287.117022,182.92267 276.037554,200.632914 262.091616,215.325152 245.865396,224.491616 225.7594,225.53125 205.96875,226.572917 185.135417,225.010417 163.260417,80.057316 147.975296,89.490058 140.706063,100.430539 141.670401,111.526626 145.134196,123.220597 150.526023,148.20414 147.685501,163.442562 142.685636,178.392072 138.074516,193.995587 138.414261,208.247104 144.097409,134.970403 161.174749,134.385417 175.760417,132.302083 190.864583,131.260417 205.447917,121.67688 212.947104,127.09375 216.90625,134.803506 219.200152,143.277076 216.014672,151.46916 212.159179,92.998508 163.29462,100.906552 156.721424,112.71997 155.656454,121.468344 166.908283,109.979851 168.704734,99.117715 168.364041,160.01001 165.763872,167.098416 155.292602,180.21875 153.364583,190.21936 160.865803,184.388466 166.177896,170.322917 166.907266,113.666435 242.288354,121.927299 235.250102,129.011815 231.397213,136.762239 234.664571,144.206176 231.002372,155.929694 235.946357,171.470376 242.636637,156.463872 255.767327,145.201167 259.083118,136.916907 259.147795,129.009252 257.874697,121.617517 253.214882,120.118445 243.338626,129.206611 239.155059,137.118924 238.735202,144.547874 238.800944,165.1156 243.05371,144.745607 245.555198,137.054781 245.564239,129.057566 245.211764
image_0030,321.308107 297.43247,329.184096 347.510119,341.83252 388.500394,349.644862 430.092682,366.496667 471.347424,392.911941 502.986801,424.618235 529.810706,455.753793 552.162812,504.413858 561.834347,550.696252 555.107554,589.50524 525.726333,621.271767 494.852068,645.827273 456.906797,659.811089 410.916977,663.664714 364.751685,674.702809 318.934062,677.864915 276.450562,347.406663 255.640669,374.042542 245.422103,403.563593 243.31882,430.52041 244.847505,458.002183 253.20772,523.654335 249.637578,553.945275 240.133622,583.725439 237.446832,616.866455 234.940966,643.117207 243.526295,492.364956 290.332765,494.470045 326.008526,497.632151 357.168452,499.183929 387.581765,466.069643 404.185093,482.681881 410.947164,499.183929 415.810153,516.374221 410.001987,533.967094 403.216642,378.515132 294.504569,398.980994 282.02816,426.920263 281.512115,446.752976 297.83869,420.306933 305.198633,394.032906 305.542664,543.30863 295.110521,558.51369 277.028798,586.738439 273.233543,609.564881 286.800595,592.43314 297.83869,564.896453 299.79305,442.998634 462.522249,466.73152 450.355839,484.478772 443.433938,502.917359 447.147548,520.454955 443.577406,539.599606 446.508945,562.308945 458.868251,543.219207 481.061544,521.315032 490.258744,504.761527 491.235924,485.79253 490.891893,466.997135 485.47857,457.161561 462.284017,485.339031 458.733693,503.477774 460.163095,520.639336 458.199826,550.004552 459.845431,520.589695 462.622593,503.509777 463.731057,485.339031 462.975534
